Date,Open,High,Low,Close,Adj Close,Volume
2021-11-06,5.242094,5.847775,3.599360,3.722735,3.722735,90510166
2021-11-07,3.724484,4.107716,3.524686,3.555702,3.555702,31382759
2021-11-08,3.548976,3.662779,3.052931,3.155346,3.155346,41090155
2021-11-09,3.155186,4.102235,3.155186,3.748175,3.748175,105361527
2021-11-10,3.743695,5.258880,3.441335,5.258880,5.258880,165847382
2021-11-11,5.280925,6.133332,5.005441,5.796524,5.796524,164935539
2021-11-12,5.788580,7.128254,5.679371,6.031715,6.031715,195658246
2021-11-13,6.032899,6.730541,5.259497,5.341832,5.341832,109550083
2021-11-14,5.342018,6.013569,5.133430,5.617405,5.617405,76537982
2021-11-15,5.616171,6.370888,5.604472,5.726295,5.726295,79582846
2021-11-16,5.733131,8.919624,5.119340,5.314511,5.314511,91844328
2021-11-17,5.281010,6.049505,5.172001,6.049505,6.049505,84291042
2021-11-18,6.045518,6.268873,5.254819,5.460682,5.460682,107474091
2021-11-19,5.461945,7.742881,5.334822,7.461546,7.461546,175999681
2021-11-20,7.458427,8.860397,7.249497,8.649271,8.649271,218835295
2021-11-21,8.662423,8.906507,7.454788,7.563708,7.563708,138506724
2021-11-22,7.602795,7.697887,6.923044,7.043221,7.043221,98729550
2021-11-23,7.043928,8.511705,7.039408,8.237544,8.237544,118284040
2021-11-24,8.238102,8.484009,7.775770,8.048939,8.048939,109689378
2021-11-25,8.055513,9.379083,8.041969,8.966749,8.966749,127047416
2021-11-26,9.317233,9.497393,7.286360,7.752614,7.752614,166761071
2021-11-27,7.747397,8.384509,7.729107,7.928724,7.928724,70636666
2021-11-28,7.933189,7.978365,7.038179,7.944176,7.944176,94707419
2021-11-29,7.946489,8.365126,7.766641,8.171736,8.171736,79797221
2021-11-30,8.167540,8.567829,7.970125,8.161784,8.161784,91475089
2021-12-01,8.165006,8.277424,7.280443,7.390297,7.390297,94075406
2021-12-02,7.389884,7.545682,6.531022,6.615907,6.615907,79310098
2021-12-03,6.620631,7.007266,5.943242,6.223282,6.223282,74235521
2021-12-04,6.224819,6.302992,5.021253,5.824421,5.824421,103035650
2021-12-05,5.821933,6.378167,5.361582,5.486115,5.486115,69601875
2021-12-06,5.487633,5.752819,4.497361,5.222485,5.222485,88636695
2021-12-07,5.225248,5.521966,5.058975,5.216692,5.216692,62776715
2021-12-08,5.217546,6.436429,5.216361,6.416445,6.416445,77206480
2021-12-09,6.380759,6.568377,5.050031,5.241180,5.241180,152844841
2021-12-10,5.243996,5.596709,4.683264,4.791783,4.791783,99170736
2021-12-11,4.795558,5.091874,4.723170,4.974141,4.974141,54003306
2021-12-12,4.977254,5.505598,4.833118,5.324546,5.324546,70905053
2021-12-13,5.326173,5.326173,4.597984,4.723355,4.723355,86750740
2021-12-14,4.725595,5.047397,4.555361,4.571944,4.571944,77346410
2021-12-15,4.888054,5.155001,4.557760,4.979457,4.979457,66136485
2021-12-16,4.978971,5.387382,4.918185,4.934741,4.934741,57262383
2021-12-17,4.933747,4.985633,4.557970,4.678314,4.678314,46297561
2021-12-18,4.680144,4.723574,4.486796,4.551645,4.551645,42768856
2021-12-19,4.551136,4.671681,4.447625,4.555918,4.555918,42259634
2021-12-20,4.554083,4.558758,3.940177,4.214854,4.214854,57440905
2021-12-21,4.213984,4.533515,4.117174,4.533515,4.533515,45409491
2021-12-22,4.534231,4.676487,4.450614,4.508644,4.508644,58096342
2021-12-23,4.508111,4.821028,4.269278,4.763745,4.763745,63918483
2021-12-24,4.763318,4.898359,4.627089,4.627089,4.627089,59737858
2021-12-25,4.631049,4.710517,4.527972,4.702664,4.702664,42960079
2021-12-26,4.700181,4.889515,4.515642,4.685221,4.685221,40354904
2021-12-27,4.684720,5.725628,4.656865,5.511522,5.511522,111621030
2021-12-28,5.507214,5.512361,4.714318,4.879332,4.879332,87058597
2021-12-29,4.879418,5.120774,4.619632,4.866231,4.866231,71622612
2021-12-30,4.866518,5.283520,4.818529,5.134424,5.134424,64290283
2021-12-31,5.133184,5.186329,4.855545,4.895250,4.895250,47176534
2022-01-01,4.895251,5.041489,4.807929,4.828232,4.828232,29070424
2022-01-02,4.828329,5.055380,4.787248,4.952562,4.952562,29844873
2022-01-03,4.952876,4.966578,4.425859,4.553574,4.553574,41152450
2022-01-04,4.553261,4.893770,4.448593,4.733583,4.733583,40442918
2022-01-05,4.733958,4.995024,4.207959,4.407485,4.407485,64806973
2022-01-06,4.409739,4.418417,4.049643,4.131346,4.131346,72189574
2022-01-07,4.132797,4.156975,3.743072,3.744094,3.744094,47789178
2022-01-08,3.744131,3.904238,3.382880,3.426588,3.426588,33243173
2022-01-09,3.423821,3.912743,3.412753,3.746816,3.746816,35223525
2022-01-10,3.746854,4.294612,3.433351,3.789069,3.789069,127739636
2022-01-11,3.788820,3.887005,3.325717,3.602504,3.602504,94771012
2022-01-12,3.602923,3.807742,3.529258,3.698764,3.698764,65994091
2022-01-13,3.698510,3.770044,3.499204,3.499641,3.499641,53630324
2022-01-14,3.499393,3.635853,3.490890,3.566440,3.566440,44511710
2022-01-15,3.561162,3.680562,3.537182,3.614968,3.614968,41196041
2022-01-16,3.615543,4.375718,3.610980,4.150943,4.150943,167155128
2022-01-17,4.151306,4.258888,3.694130,3.770554,3.770554,73945405
2022-01-18,3.770118,3.839183,3.513452,3.756196,3.756196,58184044
2022-01-19,3.755984,3.794664,3.514105,3.562776,3.562776,42202068
2022-01-20,3.558944,3.749530,3.357163,3.358529,3.358529,43807140
2022-01-21,3.359589,3.413025,2.663054,2.707831,2.707831,93271377
2022-01-22,2.710045,2.898034,2.065135,2.437644,2.437644,116493092
2022-01-23,2.438043,2.592111,2.261951,2.495656,2.495656,57218428
2022-01-24,2.496554,2.502634,2.011853,2.320415,2.320415,75532013
2022-01-25,2.320290,2.453357,2.198006,2.351845,2.351845,44205933
2022-01-26,2.351944,3.267595,2.312877,3.003010,3.003010,135312143
2022-01-27,2.996798,3.069161,2.502544,2.654993,2.654993,96107916
2022-01-28,2.653263,2.875101,2.499094,2.827356,2.827356,62152930
2022-01-29,2.827539,2.929019,2.677250,2.818526,2.818526,64775834
2022-01-30,2.820081,2.841820,2.504322,2.578268,2.578268,47128432
2022-01-31,2.578069,2.739665,2.472936,2.701512,2.701512,45839082
2022-02-01,2.701885,2.992431,2.681136,2.877809,2.877809,40496499
2022-02-02,2.877965,3.150949,2.766157,2.982283,2.982283,62623827
2022-02-03,2.993035,4.245133,2.993035,3.380534,3.380534,383829826
2022-02-04,3.382321,3.444258,2.781494,2.977913,2.977913,238636448
2022-02-05,2.978968,3.147722,2.815763,2.874656,2.874656,120711970
2022-02-06,2.875164,2.977469,2.728153,2.825849,2.825849,70642462
2022-02-07,2.825410,3.065945,2.767516,2.859379,2.859379,97733827
2022-02-08,2.859649,3.341029,2.615203,2.783146,2.783146,198898146
2022-02-09,2.782454,2.891256,2.651312,2.816435,2.816435,74650141
2022-02-10,2.816775,2.857325,2.565524,2.599197,2.599197,96186010
2022-02-11,2.599478,2.691789,2.235803,2.303643,2.303643,98301862
2022-02-12,2.303240,2.376384,2.214194,2.295754,2.295754,66887014
2022-02-13,2.296024,2.457183,2.251899,2.288340,2.288340,85607016
2022-02-14,2.287653,2.345691,2.183850,2.294114,2.294114,66474307
2022-02-15,2.293323,2.485517,2.278664,2.478431,2.478431,70081793
2022-02-16,2.479208,2.492115,2.332574,2.399029,2.399029,63214940
2022-02-17,2.396913,2.413924,2.111618,2.125253,2.125253,67113964
2022-02-18,2.125910,2.197746,2.035250,2.050849,2.050849,60672029
2022-02-19,2.050506,2.099859,1.908732,1.976001,1.976001,48736430
2022-02-20,1.976131,1.976131,1.776311,1.813107,1.813107,57594630
2022-02-21,1.813215,1.957083,1.556632,1.567522,1.567522,101630001
2022-02-22,1.567293,1.677215,1.567293,1.657615,1.657615,103046463
2022-02-23,1.657334,1.720599,1.560183,1.561749,1.561749,51783314
2022-02-24,1.558718,1.558718,1.324047,1.502589,1.502589,123270897
2022-02-25,1.503076,1.577304,1.453717,1.535295,1.535295,59256442
2022-02-26,1.534860,1.614203,1.488792,1.496131,1.496131,43054570
2022-02-27,1.495798,1.585949,1.380230,1.409512,1.409512,68386794
2022-02-28,1.409657,1.557913,1.385218,1.557913,1.557913,60151828
2022-03-01,1.558142,1.631345,1.506672,1.583645,1.583645,80857215
2022-03-02,1.583583,1.583583,1.454266,1.465297,1.465297,54971588
2022-03-03,1.465287,1.491681,1.406462,1.458318,1.458318,42136718
2022-03-04,1.458540,1.480081,1.283623,1.319770,1.319770,52956632
2022-03-05,1.320057,1.326030,1.252712,1.281139,1.281139,34097612
2022-03-06,1.281008,1.281798,1.150997,1.150997,1.150997,40604344
2022-03-07,1.151265,1.703045,1.103787,1.596812,1.596812,496791528
2022-03-08,1.589607,1.825820,1.467234,1.504703,1.504703,404483177
2022-03-09,1.508506,1.744071,1.435264,1.592596,1.592596,231722033
2022-03-10,1.593977,1.685796,1.469167,1.517116,1.517116,188418211
2022-03-11,1.515396,1.841569,1.496488,1.707088,1.707088,311581781
2022-03-12,1.707279,1.956898,1.691648,1.872611,1.872611,295011096
2022-03-13,1.873906,1.968450,1.672611,1.691877,1.691877,194362152
2022-03-14,1.691220,1.738919,1.565242,1.649969,1.649969,119102086
2022-03-15,1.650570,1.655116,1.509632,1.514428,1.514428,99806121
2022-03-16,1.513452,1.656985,1.462361,1.656985,1.656985,153830166
2022-03-17,1.655058,1.681634,1.560890,1.581648,1.581648,98105949
2022-03-18,1.580870,1.642747,1.496040,1.639126,1.639126,78455640
2022-03-19,1.639263,2.192492,1.596508,2.076258,2.076258,509878356
2022-03-20,2.077795,2.337622,1.935902,2.175558,2.175558,428917867
2022-03-21,2.178648,2.287782,2.004155,2.131150,2.131150,295424489
2022-03-22,2.133035,2.417804,2.097827,2.322952,2.322952,281849009
2022-03-23,2.322184,2.415396,2.147192,2.271702,2.271702,270671708
2022-03-24,2.271496,2.358053,2.121485,2.157528,2.157528,176058990
