Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,0.000186,0.000189,0.000170,0.000184,0.000184,41607
2022-06-02,0.000184,0.000500,0.000172,0.000480,0.000480,57158
2022-06-03,0.000480,0.000750,0.000350,0.000589,0.000589,137551
2022-06-04,0.000589,0.000615,0.000452,0.000557,0.000557,155008
2022-06-05,0.000557,0.000560,0.000455,0.000499,0.000499,115634
2022-06-06,0.000499,0.000499,0.000250,0.000400,0.000400,100250
2022-06-07,0.000400,0.000450,0.000380,0.000440,0.000440,90467
2022-06-08,0.000440,0.000544,0.000380,0.000499,0.000499,106472
2022-06-09,0.000499,0.000560,0.000410,0.000558,0.000558,132960
2022-06-10,0.000558,0.000560,0.000480,0.000519,0.000519,132038
2022-06-11,0.000519,0.000519,0.000435,0.000483,0.000483,105528
2022-06-12,0.000483,0.000485,0.000410,0.000433,0.000433,92017
2022-06-13,0.000433,0.000482,0.000360,0.000387,0.000387,97205
2022-06-14,0.000387,0.000411,0.000300,0.000313,0.000313,90250
2022-06-15,0.000313,0.000430,0.000313,0.000389,0.000389,84682
2022-06-16,0.000389,0.000423,0.000356,0.000371,0.000371,83774
2022-06-17,0.000371,0.000420,0.000300,0.000356,0.000356,85883
2022-06-18,0.000356,0.000382,0.000270,0.000329,0.000329,69085
2022-06-19,0.000329,0.000379,0.000284,0.000317,0.000317,69793
2022-06-20,0.000317,0.000373,0.000273,0.000371,0.000371,74616
2022-06-21,0.000371,0.000599,0.000371,0.000440,0.000440,103277
2022-06-22,0.000440,0.000440,0.000330,0.000358,0.000358,87761
2022-06-23,0.000358,0.000390,0.000325,0.000372,0.000372,73484
2022-06-24,0.000372,0.000384,0.000330,0.000384,0.000384,79448
2022-06-25,0.000384,0.000400,0.000325,0.000352,0.000352,76193
2022-06-26,0.000352,0.000370,0.000326,0.000367,0.000367,79660
2022-06-27,0.000367,0.000400,0.000331,0.000354,0.000354,82135
2022-06-28,0.000354,0.000374,0.000349,0.000356,0.000356,74917
