Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,1.052109,1.066795,1.034780,1.037136,1.037136,2723774
2019-05-22,1.037136,1.140881,1.034034,1.121754,1.121754,4600126
2019-05-23,1.121754,1.133930,1.079421,1.099154,1.099154,2374260
2019-05-24,1.099147,1.222482,1.089178,1.196215,1.196215,5293479
2019-05-25,1.196215,1.358469,1.196215,1.320464,1.320464,5915304
2019-05-26,1.320801,1.499448,1.307606,1.494776,1.494776,8174095
2019-05-27,1.496121,1.499153,1.379083,1.388207,1.388207,4537073
2019-05-28,1.387753,1.483625,1.311019,1.446145,1.446145,4693617
2019-05-29,1.446145,1.535760,1.408822,1.524220,1.524220,7324107
2019-05-30,1.524220,1.531448,1.402013,1.406775,1.406775,5278816
2019-05-31,1.406775,1.500706,1.396670,1.495353,1.495353,2548318
2019-06-01,1.495353,1.502603,1.404282,1.412168,1.412168,1930410
2019-06-02,1.412168,1.480612,1.404569,1.424380,1.424380,2042972
2019-06-03,1.424380,1.437071,1.398624,1.404535,1.404535,925414
2019-06-04,1.405726,1.497844,1.347071,1.463837,1.463837,4343785
2019-06-05,1.464648,1.508908,1.437358,1.488215,1.488215,3140035
2019-06-06,1.487517,1.653006,1.482797,1.653006,1.653006,7755433
2019-06-07,1.654928,1.711303,1.627152,1.696069,1.696069,6354250
2019-06-08,1.695974,1.735109,1.643449,1.727831,1.727831,5164968
2019-06-09,1.727561,1.775872,1.705779,1.758375,1.758375,9305885
2019-06-10,1.758436,1.933066,1.745659,1.919987,1.919987,16229010
2019-06-11,1.919880,1.961861,1.871944,1.918036,1.918036,9761159
2019-06-12,1.917757,1.979914,1.903003,1.974928,1.974928,10879236
2019-06-13,1.972158,1.977520,1.857175,1.946752,1.946752,18402258
2019-06-14,1.947320,1.954532,1.855129,1.930615,1.930615,20014756
2019-06-15,1.929248,1.943872,1.906328,1.915392,1.915392,15348108
2019-06-16,1.915392,1.923961,1.864731,1.875880,1.875880,18774177
2019-06-17,1.873754,1.941876,1.864274,1.911494,1.911494,6925403
2019-06-18,1.911565,1.926477,1.855245,1.869801,1.869801,6221305
2019-06-19,1.869169,1.874817,1.815038,1.853088,1.853088,3387136
2019-06-20,1.853427,1.911940,1.843950,1.889237,1.889237,7809732
2019-06-21,1.889495,1.899245,1.810696,1.829489,1.829489,11004022
2019-06-22,1.829019,1.852635,1.766939,1.840670,1.840670,9338678
2019-06-23,1.840940,1.922461,1.824951,1.879168,1.879168,6815401
2019-06-24,1.879168,1.894642,1.839456,1.892550,1.892550,3899545
2019-06-25,1.891825,1.919122,1.867093,1.915762,1.915762,7345707
2019-06-26,1.915762,2.001839,1.873896,1.884011,1.884011,16418573
2019-06-27,1.884011,1.950298,1.700795,1.749994,1.749994,11362454
2019-06-28,1.749497,1.894369,1.716869,1.832565,1.832565,18326840
2019-06-29,1.833157,1.911628,1.801205,1.895605,1.895605,15523894
2019-06-30,1.896836,1.919518,1.751092,1.757874,1.757874,14967396
2019-07-01,1.757874,1.783409,1.726700,1.741338,1.741338,12775152
2019-07-02,1.739560,1.748813,1.657464,1.719703,1.719703,15906120
2019-07-03,1.721859,1.758393,1.681040,1.695619,1.695619,11075056
2019-07-04,1.696177,1.808613,1.693847,1.785007,1.785007,11438616
2019-07-05,1.784493,1.786662,1.684346,1.755879,1.755879,11588748
2019-07-06,1.755647,1.758827,1.702768,1.706732,1.706732,9373915
2019-07-07,1.707513,1.724485,1.699377,1.700326,1.700326,7842669
2019-07-08,1.699487,1.707645,1.618731,1.618731,1.618731,10411917
2019-07-09,1.618542,1.620388,1.487197,1.579107,1.579107,15671102
2019-07-10,1.580192,1.591618,1.486952,1.506759,1.506759,12351840
2019-07-11,1.506487,1.561354,1.462261,1.507653,1.507653,13023405
2019-07-12,1.507371,1.522113,1.430504,1.494658,1.494658,13025641
2019-07-13,1.494452,1.504807,1.424551,1.427644,1.427644,9091522
2019-07-14,1.428346,1.446360,1.389919,1.406776,1.406776,12096616
2019-07-15,1.411067,1.465803,1.374230,1.456146,1.456146,15449154
2019-07-16,1.456636,1.468551,1.339004,1.346842,1.346842,13345555
2019-07-17,1.345836,1.382896,1.309396,1.351332,1.351332,12300798
2019-07-18,1.351328,1.353598,1.244125,1.334733,1.334733,12367029
2019-07-19,1.334733,1.339085,1.220437,1.249402,1.249402,15769890
2019-07-20,1.248886,1.386181,1.218536,1.270154,1.270154,9824151
2019-07-21,1.270154,1.342478,1.239322,1.282854,1.282854,7077293
2019-07-22,1.283264,1.345622,1.278108,1.299407,1.299407,8038514
2019-07-23,1.299851,1.335943,1.263712,1.301995,1.301995,6524740
2019-07-24,1.301995,1.339307,1.280693,1.321836,1.321836,6787670
2019-07-25,1.320251,1.331055,1.291662,1.294690,1.294690,7693942
2019-07-26,1.294793,1.317043,1.276601,1.278618,1.278618,8985318
2019-07-27,1.278618,1.305943,1.269492,1.288527,1.288527,7577685
2019-07-28,1.288527,1.293031,1.251189,1.282001,1.282001,5099933
2019-07-29,1.281198,1.351524,1.277692,1.348502,1.348502,6335698
2019-07-30,1.349206,1.357934,1.301959,1.335271,1.335271,8521005
2019-07-31,1.335017,1.337581,1.302337,1.309301,1.309301,7870567
2019-08-01,1.308573,1.314494,1.285790,1.310345,1.310345,9301899
2019-08-02,1.309945,1.313394,1.281113,1.286243,1.286243,6914140
2019-08-03,1.286043,1.337699,1.283490,1.326146,1.326146,6126841
2019-08-04,1.326592,1.340141,1.285845,1.318414,1.318414,8254017
2019-08-05,1.318563,1.329243,1.301678,1.329088,1.329088,9762237
2019-08-06,1.331402,1.343997,1.244483,1.248576,1.248576,9249956
2019-08-07,1.249110,1.280057,1.248151,1.269245,1.269245,6562868
2019-08-08,1.269245,1.270034,1.240111,1.244490,1.244490,7889292
2019-08-09,1.245362,1.250648,1.221006,1.222589,1.222589,6844827
2019-08-10,1.222589,1.240015,1.217706,1.234604,1.234604,6377969
2019-08-11,1.237995,1.319273,1.230156,1.308746,1.308746,7207664
2019-08-12,1.307949,1.310064,1.259430,1.265918,1.265918,5173144
2019-08-13,1.266124,1.270336,1.223962,1.228755,1.228755,5559511
2019-08-14,1.228266,1.290815,1.222240,1.240010,1.240010,9067862
2019-08-15,1.240010,1.250807,1.213054,1.226603,1.226603,9770985
2019-08-16,1.227032,1.227329,1.165759,1.169743,1.169743,10462439
2019-08-17,1.168492,1.275534,1.167226,1.215674,1.215674,10140946
2019-08-18,1.214692,1.318357,1.213029,1.314997,1.314997,11115286
2019-08-19,1.315116,1.331162,1.280164,1.326791,1.326791,8769122
2019-08-20,1.326791,1.347359,1.291328,1.306096,1.306096,9793710
2019-08-21,1.305194,1.309686,1.183220,1.199871,1.199871,10557616
2019-08-22,1.199609,1.215060,1.190994,1.212684,1.212684,9580089
2019-08-23,1.212684,1.214618,1.187080,1.202914,1.202914,6549770
2019-08-24,1.202270,1.209901,1.167969,1.168567,1.168567,5919393
2019-08-25,1.168567,1.208106,1.168567,1.176130,1.176130,5507373
2019-08-26,1.172559,1.210220,1.153790,1.183908,1.183908,6730862
2019-08-27,1.185281,1.194325,1.179618,1.186630,1.186630,4831959
2019-08-28,1.185294,1.192634,1.149666,1.150366,1.150366,7344170
2019-08-29,1.149332,1.152664,1.127978,1.138317,1.138317,7263072
2019-08-30,1.138317,1.147308,1.130168,1.139688,1.139688,6086745
2019-08-31,1.138563,1.144164,1.118046,1.134746,1.134746,5883588
2019-09-01,1.134775,1.151912,1.120405,1.149241,1.149241,5022303
2019-09-02,1.149039,1.151183,1.112260,1.142410,1.142410,5761937
2019-09-03,1.142745,1.143069,1.115488,1.126654,1.126654,5087267
2019-09-04,1.127291,1.133386,1.101021,1.102848,1.102848,4777108
2019-09-05,1.102848,1.107943,1.069045,1.069809,1.069809,6713358
2019-09-06,1.069809,1.079211,1.055098,1.060167,1.060167,5541291
2019-09-07,1.060871,1.071677,1.056836,1.065294,1.065294,3647837
2019-09-08,1.065438,1.083133,1.059380,1.070294,1.070294,5195987
2019-09-09,1.070294,1.074870,1.047483,1.049068,1.049068,4577684
2019-09-10,1.049384,1.063214,1.045861,1.055286,1.055286,8641516
2019-09-11,1.055286,1.066940,1.051655,1.062689,1.062689,5170231
2019-09-12,1.062881,1.070291,1.061236,1.064503,1.064503,5754002
2019-09-13,1.064689,1.070831,1.053188,1.053782,1.053782,8359283
2019-09-14,1.054180,1.059513,1.053382,1.056194,1.056194,3393965
2019-09-15,1.056209,1.072050,1.054511,1.068793,1.068793,5601370
2019-09-16,1.068436,1.081697,1.054434,1.075685,1.075685,4974807
