Date,Open,High,Low,Close,Adj Close,Volume
2024-02-20,1.002294,1.003800,1.000747,1.001731,1.001731,60860244
2024-02-21,1.001949,1.002491,1.000420,1.001779,1.001779,59400185
2024-02-22,1.001749,1.003402,1.000644,1.000925,1.000925,77652404
2024-02-23,1.000925,1.001867,1.000827,1.001546,1.001546,14811761
2024-02-24,1.001535,1.001844,1.001016,1.001424,1.001424,16077066
2024-02-25,1.001400,1.002206,1.001109,1.001488,1.001488,24889341
2024-02-26,1.001370,1.002722,1.001247,1.002367,1.002367,62657849
2024-02-27,1.002367,1.003184,1.001217,1.002013,1.002013,35901491
2024-02-28,1.002104,1.003567,1.001434,1.003113,1.003113,76052074
2024-02-29,1.003071,1.005031,1.000987,1.001788,1.001788,163582081
2024-03-01,1.001868,1.004723,1.001431,1.002365,1.002365,98201807
2024-03-02,1.002365,1.003686,1.001579,1.002324,1.002324,126743450
2024-03-03,1.002235,1.002449,1.001019,1.001989,1.001989,99141588
2024-03-04,1.001989,1.003111,1.001566,1.002787,1.002787,122896070
2024-03-05,1.002787,1.004077,1.001109,1.002674,1.002674,103092775
2024-03-06,1.002674,1.003309,1.000740,1.002285,1.002285,44527519
2024-03-07,1.002285,1.003364,1.001458,1.002897,1.002897,30576049
2024-03-08,1.002897,1.003839,1.002232,1.003529,1.003529,26779492
2024-03-09,1.003529,1.004592,1.002921,1.003724,1.003724,31820115
2024-03-10,1.003724,1.004289,1.002438,1.002438,1.002438,49585348
2024-03-11,1.002438,1.004394,1.001088,1.001665,1.001665,100624572
2024-03-12,1.001665,1.007934,1.001248,1.001858,1.001858,170370274
2024-03-13,1.001858,1.006355,1.001343,1.002298,1.002298,146188026
2024-03-14,1.002298,1.003019,1.000570,1.000901,1.000901,113216395
2024-03-15,1.000901,1.001545,0.999924,1.001339,1.001339,71865941
2024-03-16,1.001339,1.001551,1.000523,1.000779,1.000779,48044156
2024-03-17,1.000779,1.001691,0.999952,1.000927,1.000927,42987525
2024-03-18,1.000931,1.003042,1.000531,1.001355,1.001355,60832165
2024-03-19,1.001164,1.001747,1.000001,1.000823,1.000823,63644610
2024-03-20,1.000823,1.002023,1.000579,1.001634,1.001634,71532557
2024-03-21,1.001634,1.002734,1.001059,1.001309,1.001309,79446719
2024-03-22,1.001309,1.003173,1.000790,1.001368,1.001368,124474927
2024-03-23,1.001368,1.001831,1.001099,1.001416,1.001416,53115339
2024-03-24,1.001416,1.005417,1.001039,1.001330,1.001330,65948710
2024-03-25,1.001330,1.002077,1.001164,1.001548,1.001548,54987399
2024-03-26,1.001548,1.001825,1.001095,1.001336,1.001336,62993165
2024-03-27,1.001336,1.001873,0.999622,1.001036,1.001036,96231189
2024-03-28,1.001036,1.001906,1.000491,1.001308,1.001308,111284090
2024-03-29,1.001308,1.002681,1.000579,1.001908,1.001908,298774322
2024-03-30,1.001908,1.002254,1.001501,1.001894,1.001894,59551832
2024-03-31,1.001894,1.001989,1.001257,1.001363,1.001363,18919852
2024-04-01,1.001363,1.002104,1.000819,1.001743,1.001743,63542199
2024-04-02,1.001743,1.003835,0.999656,1.003534,1.003534,896702704
2024-04-03,1.003534,1.008780,1.001231,1.001764,1.001764,578335471
2024-04-04,1.001764,1.002177,0.999453,1.001555,1.001555,252559057
2024-04-05,1.001555,1.001829,1.000357,1.001692,1.001692,100095207
2024-04-06,1.001692,1.002222,1.001206,1.001522,1.001522,102631374
2024-04-07,1.001522,1.002360,1.001203,1.001872,1.001872,160834313
2024-04-08,1.001872,1.004128,1.000826,1.001480,1.001480,436376130
2024-04-09,1.001480,1.002108,1.000835,1.001011,1.001011,264729536
2024-04-10,1.001011,1.001915,1.000546,1.001316,1.001316,203037067
2024-04-11,1.001316,1.001651,1.000149,1.001443,1.001443,153882284
2024-04-12,1.001443,1.001648,0.999751,0.999990,0.999990,252935818
2024-04-13,0.999990,1.001559,0.997848,0.999676,0.999676,199773875
2024-04-14,0.999676,1.000366,0.998399,0.999551,0.999551,150909664
2024-04-15,0.999872,1.001036,0.999627,1.000266,1.000266,88154897
2024-04-16,1.000266,1.001109,0.999884,1.000611,1.000611,90971655
2024-04-17,1.000611,1.002095,1.000068,1.001121,1.001121,76828334
2024-04-18,1.001121,1.001439,1.000170,1.001004,1.001004,49206167
2024-04-19,1.001004,1.001225,0.999981,1.000938,1.000938,83427207
2024-04-20,1.000938,1.001255,0.999921,1.000205,1.000205,47644510
2024-04-21,1.000205,1.000706,0.999181,0.999916,0.999916,90828049
2024-04-22,0.999916,1.000922,0.999021,0.999997,0.999997,78359209
2024-04-23,0.999997,1.000187,0.998919,0.999545,0.999545,70939492
2024-04-24,0.999545,0.999627,0.998133,0.998485,0.998485,83780471
2024-04-25,0.998485,0.999670,0.998005,0.999614,0.999614,86865860
2024-04-26,0.999614,0.999722,0.997448,0.998557,0.998557,125551388
2024-04-27,0.998557,0.998793,0.997731,0.998435,0.998435,34073037
2024-04-28,0.998435,0.999117,0.997747,0.998300,0.998300,62450539
2024-04-29,0.998300,0.998970,0.997705,0.998149,0.998149,67979712
2024-04-30,0.998150,1.000291,0.997736,0.998832,0.998832,127745280
2024-05-01,0.998832,0.998832,0.996628,0.997780,0.997780,127801621
2024-05-02,0.997780,0.999357,0.997360,0.998943,0.998943,77242931
2024-05-03,0.998943,0.999526,0.998520,0.999313,0.999313,67983645
2024-05-04,0.999313,0.999848,0.998327,0.999490,0.999490,50017820
2024-05-05,0.999490,0.999749,0.998778,0.999288,0.999288,23751758
2024-05-06,0.999288,0.999855,0.998831,0.999400,0.999400,60018712
2024-05-07,0.999400,0.999946,0.998756,0.999512,0.999512,60159446
2024-05-08,0.999512,1.000494,0.999126,0.999885,0.999885,54797017
2024-05-09,0.999885,1.001385,0.999770,1.001000,1.001000,35231739
2024-05-10,1.001000,1.002274,1.000262,1.000791,1.000791,68375848
2024-05-11,1.000791,1.001187,0.999584,0.999675,0.999675,40318837
2024-05-12,0.999675,1.001407,0.999659,1.000597,1.000597,48142904
2024-05-13,1.000597,1.001700,1.000422,1.001122,1.001122,39575623
2024-05-14,1.001122,1.001437,1.000324,1.000706,1.000706,61425070
2024-05-15,1.000706,1.002085,1.000569,1.001109,1.001109,72447265
2024-05-16,1.001109,1.002064,1.000709,1.001048,1.001048,73344581
2024-05-17,1.001048,1.002651,1.000990,1.001718,1.001718,230366888
2024-05-18,1.001718,1.002773,1.001271,1.001672,1.001672,145596059
2024-05-19,1.001672,1.001996,1.000518,1.001229,1.001229,58692848
2024-05-20,1.001229,1.002773,1.001128,1.001679,1.001679,198654934
2024-05-21,1.001679,1.001890,1.000822,1.001340,1.001340,182067437
2024-05-22,1.001340,1.001484,1.000429,1.000861,1.000861,82057405
2024-05-23,1.000861,1.002002,1.000357,1.000899,1.000899,184464847
2024-05-24,1.000899,1.002691,1.000421,1.001151,1.001151,120670637
2024-05-25,1.001151,1.001544,1.000833,1.001187,1.001187,79665448
2024-05-26,1.001187,1.001777,1.000522,1.000722,1.000722,66176845
2024-05-27,1.000722,1.001476,1.000317,1.000504,1.000504,102291362
2024-05-28,1.000504,1.001664,0.999871,1.000296,1.000296,103738623
2024-05-29,1.000296,1.001699,0.999978,1.000302,1.000302,113584088
2024-05-30,1.000139,1.001439,0.999949,1.001069,1.001069,101996353
2024-05-31,1.001012,1.001364,0.999966,1.000291,1.000291,82317425
2024-06-01,1.000291,1.001012,0.999934,1.000587,1.000587,74358400
2024-06-02,1.000587,1.002362,1.000153,1.002271,1.002271,72845780
2024-06-03,1.002271,1.002364,1.000541,1.000831,1.000831,122764376
