Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,0.058535,0.058749,0.056998,0.057756,0.057756,145585
2023-05-05,0.057755,0.058763,0.057536,0.058703,0.058703,193591
2023-05-06,0.058707,0.059088,0.054800,0.057430,0.057430,208042
2023-05-07,0.057430,0.057769,0.056630,0.056691,0.056691,183532
2023-05-08,0.056686,0.056855,0.053597,0.054209,0.054209,370630
2023-05-09,0.054214,0.054260,0.052966,0.053335,0.053335,191460
2023-05-10,0.053337,0.054485,0.052678,0.054062,0.054062,129923
2023-05-11,0.054063,0.054084,0.050922,0.051188,0.051188,183753
2023-05-12,0.051187,0.052071,0.050026,0.051978,0.051978,176074
2023-05-13,0.051970,0.052210,0.051394,0.051502,0.051502,92067
2023-05-14,0.051497,0.052827,0.051336,0.052197,0.052197,107345
2023-05-15,0.052196,0.053078,0.051657,0.052756,0.052756,112174
2023-05-16,0.052757,0.052882,0.052143,0.052445,0.052445,146028
2023-05-17,0.052444,0.053171,0.051365,0.053066,0.053066,116217
2023-05-18,0.053066,0.053068,0.051356,0.051999,0.051999,101636
2023-05-19,0.051999,0.053025,0.051658,0.052681,0.052681,155216
2023-05-20,0.052682,0.053583,0.052131,0.052902,0.052902,140187
2023-05-21,0.052902,0.053020,0.052156,0.052421,0.052421,119472
2023-05-22,0.052421,0.052464,0.051494,0.052120,0.052120,98852
2023-05-23,0.052120,0.053265,0.051999,0.052326,0.052326,104172
2023-05-24,0.052313,0.052635,0.050096,0.051138,0.051138,234279
2023-05-25,0.051139,0.051659,0.049703,0.050868,0.050868,153215
2023-05-26,0.050870,0.051787,0.050197,0.051681,0.051681,93871
2023-05-27,0.051680,0.052657,0.051668,0.051875,0.051875,98519
2023-05-28,0.051875,0.053759,0.051739,0.053436,0.053436,128171
2023-05-29,0.053436,0.053538,0.052328,0.052958,0.052958,158312
2023-05-30,0.052963,0.053239,0.051950,0.052345,0.052345,139964
2023-05-31,0.052342,0.052776,0.050120,0.051299,0.051299,273772
2023-06-01,0.051296,0.052010,0.050314,0.050339,0.050339,153840
2023-06-02,0.050326,0.051223,0.050099,0.050616,0.050616,175886
2023-06-03,0.050610,0.050679,0.049716,0.050152,0.050152,109916
2023-06-04,0.050155,0.050748,0.049830,0.050107,0.050107,71360
2023-06-05,0.050120,0.050285,0.046878,0.048420,0.048420,177208
2023-06-06,0.048419,0.049527,0.047489,0.049088,0.049088,154785
2023-06-07,0.049087,0.049201,0.047835,0.047959,0.047959,140216
2023-06-08,0.047959,0.048387,0.047376,0.048208,0.048208,108637
2023-06-09,0.048208,0.048835,0.047714,0.048115,0.048115,126889
2023-06-10,0.048115,0.048265,0.042188,0.045445,0.045445,352646
2023-06-11,0.045438,0.045494,0.043609,0.044463,0.044463,95257
2023-06-12,0.044465,0.044953,0.043703,0.044855,0.044855,109956
2023-06-13,0.044855,0.046501,0.044681,0.046294,0.046294,116885
2023-06-14,0.046294,0.047184,0.045271,0.045308,0.045308,114360
2023-06-15,0.045306,0.045778,0.042438,0.043386,0.043386,149423
2023-06-16,0.043386,0.044628,0.042513,0.044269,0.044269,180135
2023-06-17,0.044265,0.046037,0.044219,0.045546,0.045546,79240
2023-06-18,0.045553,0.045799,0.042958,0.044743,0.044743,205934
2023-06-19,0.044737,0.045157,0.044298,0.044674,0.044674,107766
2023-06-20,0.044675,0.048451,0.044675,0.048432,0.048432,170492
2023-06-21,0.048433,0.050878,0.048405,0.050528,0.050528,194988
2023-06-22,0.050525,0.051627,0.049567,0.049758,0.049758,278685
2023-06-23,0.049759,0.053040,0.048910,0.052287,0.052287,321998
2023-06-24,0.052289,0.052837,0.050968,0.051173,0.051173,139060
2023-06-25,0.051180,0.054832,0.051073,0.051952,0.051952,237055
2023-06-26,0.051952,0.052445,0.050047,0.050290,0.050290,40066
2023-06-27,0.050285,0.050897,0.049828,0.050538,0.050538,122972
2023-06-28,0.050544,0.050556,0.047895,0.047895,0.047895,130084
2023-06-29,0.047893,0.049399,0.047640,0.048421,0.048421,87475
2023-06-30,0.048422,0.050904,0.047901,0.050278,0.050278,220800
2023-07-01,0.050279,0.051277,0.049959,0.050321,0.050321,164758
2023-07-02,0.050325,0.050475,0.049752,0.049941,0.049941,192400
2023-07-03,0.049940,0.051101,0.049889,0.050050,0.050050,208426
